,subject,predicate,object
0,Aardvark,abstract,"The aardvark ( ARD-vark; Orycteropus afer) is a medium-sized, burrowing, nocturnal mammal native to Africa. It is the only living species of the order Tubulidentata, although other prehistoric species and genera of Tubulidentata are known. Unlike other insectivores, it has a long pig-like snout, which is used to sniff out food. It roams over most of the southern two-thirds of the African continent, avoiding areas that are mainly rocky. A nocturnal feeder, it subsists on ants and termites, which it will dig out of their hills using its sharp claws and powerful legs. It also digs to create burrows in which to live and rear its young. It receives a ""least concern"" rating from the IUCN, although its numbers seem to be decreasing. Aardvarks are afrotheres, a clade which also includes elephants, manatees, and hyraxes."
1,Aardvark,type,Mammal
2,Aardvark,type,Eukaryote
3,Aardvark,type,BiologicalLivingObject
4,Aardvark,type,Animal
5,Albatross,abstract,"Albatrosses are large seabirds in the family Diomedeidae. They are related to the procellariids, storm petrels, and diving petrels in the order Procellariiformes (the tubenoses). They range widely in the Southern Ocean and the North Pacific. They are absent from the North Atlantic, although fossil remains show they once occurred there and occasional vagrants are found. Albatrosses are among the largest of flying birds, and species of the genus Diomedea (great albatrosses) have the longest wingspans of any extant birds, reaching up to 3.7 m (12 ft). The albatrosses are usually regarded as falling into four genera, but disagreement exists over the number of species. They feed on squid, fish, and krill by either scavenging, surface seizing, or diving. Albatrosses are colonial, nesting for the most part on remote oceanic islands, often with several species nesting together. Pair bonds between males and females form over several years, with the use of ""ritualised dances"", and last for the life of the pair. A breeding season can take over a year from laying to fledging, with a single egg laid in each breeding attempt. A Laysan albatross, named Wisdom, on Midway Island is recognised as the oldest wild bird in the world; she was first banded in 1956 by Chandler Robbins. Of the 22 species of albatrosses recognised by the IUCN, all are listed as at some level of concern; three species are critically endangered, five species are endangered, seven species are near threatened, and seven species are vulnerable. Numbers of albatrosses have declined in the past due to harvesting for feathers. Albatrosses are threatened by introduced species, such as rats and feral cats that attack eggs, chicks, and nesting adults; by pollution; by a serious decline in fish stocks in many regions largely due to overfishing; and by longline fishing. Longline fisheries pose the greatest threat, as feeding birds are attracted to the bait, become hooked on the lines, and drown. Identified stakeholders such as governments, conservation organisations, and people in the fishing industry are all working toward reducing this bycatch."
6,Albatross,type,Bird
7,Albatross,type,BiologicalLivingObject
8,Albatross,type,Eukaryote
10,Albatross,type,Animal
11,Albatross,type,Insect
12,Alligator,abstract,"An alligator is a crocodilian in the genus Alligator of the family Alligatoridae. The two living species are the American alligator (A. mississippiensis) and the Chinese alligator (A. sinensis). Additionally, several extinct species of alligator are known from fossil remains. Alligators first appeared during the Oligocene epoch about 37 million years ago. The name ""alligator"" is probably an anglicized form of el lagarto, the Spanish term for ""the lizard"", which early Spanish explorers and settlers in Florida called the alligator. Later English spellings of the name included allagarta and alagarto."
14,Alligator,type,Animal
15,Alligator,type,Reptile
16,Alligator,type,BiologicalLivingObject
17,Alligator,type,Eukaryote
18,Alpaca,abstract,"The alpaca (Vicugna pacos) is a species of South American camelid descended from the vicuÃ±a. It is similar to, and often confused with, the llama. However, alpacas are often noticeably smaller than llamas. The two animals are closely related and can successfully cross-breed. Alpacas and llamas are related to the guanaco. There are two breeds of alpaca: the Suri alpaca and the Huacaya alpaca. Alpacas are kept in herds that graze on the level heights of the Andes of Southern Peru, Western Bolivia, Ecuador, and Northern Chile at an altitude of 3,500 to 5,000 metres (11,000 to 16,000 feet) above sea level. Alpacas are considerably smaller than llamas, and unlike llamas, they were not bred to be working animals but were bred specifically for their fiber. Alpaca fiber is used for making knitted and woven items, similar to sheep's wool. These items include blankets, sweaters, hats, gloves, scarves, a wide variety of textiles and ponchos in South America, and sweaters, socks, coats and bedding in other parts of the world. The fiber comes in more than 52 natural colors as classified in Peru, 12 as classified in Australia, and 16 as classified in the United States. Alpacas communicate through body language. The most common is spitting when they are in distress, fearful, or mean to show dominance. Male alpacas are more aggressive than females, and tend to establish dominance of their herd group. In some cases, alpha males will immobilize the head and neck of a weaker or challenging male in order to show their strength and dominance. In the textile industry, ""alpaca"" primarily refers to the hair of Peruvian alpacas, but more broadly it refers to a style of fabric originally made from alpaca hair, such as mohair, Icelandic sheep wool, or even high-quality wool from other breeds of sheep. In trade, distinctions are made between alpacas and the several styles of mohair and luster. An adult alpaca generally is between 81 and 99 centimetres (32 and 39 inches) in height at the shoulders (withers). They usually weigh between 48 and 84 kilograms (106 and 185 pounds)."
20,Alpaca,type,Mammal
21,Alpaca,type,Eukaryote
22,Alpaca,type,BiologicalLivingObject
23,Alpaca,type,Animal
24,Ant,abstract,"Ants are eusocial insects of the family Formicidae and, along with the related wasps and bees, belong to the order Hymenoptera. Ants appear in the fossil record across the globe in considerable diversity during the latest Early Cretaceous and early Late Cretaceous, suggesting an earlier origin. Ants evolved from vespoid wasp ancestors in the Cretaceous period, and diversified after the rise of flowering plants. More than 12,500 of an estimated total of 22,000 species have been classified. They are easily identified by their elbowed antennae and the distinctive node-like structure that forms their slender waists. Ants form colonies that range in size from a few dozen predatory individuals living in small natural cavities to highly organised colonies that may occupy large territories and consist of millions of individuals. Larger colonies consist of various castes of sterile, wingless females, most of which are workers (ergates), as well as soldiers (dinergates) and other specialised groups. Nearly all ant colonies also have some fertile males called ""drones"" (aner) and one or more fertile females called ""queens"" (gynes). The colonies are described as superorganisms because the ants appear to operate as a unified entity, collectively working together to support the colony. Ants have colonised almost every landmass on Earth. The only places lacking indigenous ants are Antarctica and a few remote or inhospitable islands. Ants thrive in most ecosystems and may form 15â€“25% of the terrestrial animal biomass. Their success in so many environments has been attributed to their social organisation and their ability to modify habitats, tap resources, and defend themselves. Their long co-evolution with other species has led to mimetic, commensal, parasitic, and mutualistic relationships. Ant societies have division of labour, communication between individuals, and an ability to solve complex problems. These parallels with human societies have long been an inspiration and subject of study. Many human cultures make use of ants in cuisine, medication, and rituals. Some species are valued in their role as biological pest control agents. Their ability to exploit resources may bring ants into conflict with humans, however, as they can damage crops and invade buildings. Some species, such as the red imported fire ant (Solenopsis invicta), are regarded as invasive species, establishing themselves in areas where they have been introduced accidentally."
26,Ant,type,BiologicalLivingObject
27,Ant,type,Animal
31,Ant,type,Insect
36,Ant,type,Eukaryote
40,Anteater,abstract,"Anteater is a common name for the four extant mammal species of the suborder Vermilingua (meaning ""worm tongue"") commonly known for eating ants and termites. The individual species have other names in English and other languages. Together with the sloths, they are within the order Pilosa. The name ""anteater"" is also colloquially applied to the unrelated aardvark, numbat, echidnas, pangolins and some members of the Oecobiidae. Extant species are the giant anteater Myrmecophaga tridactyla, about 1.8 m (5 ft 11 in) long including the tail; the silky anteater Cyclopes didactylus, about 35 cm (14 in) long; the southern tamandua or collared anteater Tamandua tetradactyla, about 1.2 m (3 ft 11 in) long; and the northern tamandua Tamandua mexicana of similar dimensions."
41,Anteater,type,Mammal
42,Anteater,type,BiologicalLivingObject
43,Anteater,type,Eukaryote
44,Anteater,type,Animal
45,Antelope,abstract,"The term antelope is used to refer to many species of even-toed ruminant indigenous to various regions in Africa and Eurasia. Antelopes comprise a wastebasket taxon (miscellaneous group) within the family Bovidae, encompassing all Old World ruminants that are not bovines, sheep, or goats. Antelopes are considered the sister group to deer within the infraorder Pecora. A group of antelope is called a herd. Unlike deer antlers, which are shed and grown annually, antelope horns grow continuously."
47,Ape,abstract,"Apes (Hominoidea) are a branch of Old World tailless simians native to Africa and Southeast Asia. They are the sister group of the Old World monkeys, together forming the catarrhine clade. They are distinguished from other primates by a wider degree of freedom of motion at the shoulder joint as evolved by the influence of brachiation. In traditional and non-scientific use, the term ""ape"" excludes humans, and can include tailless primates taxonomically considered monkeys (such as the Barbary ape), and is thus not equivalent to the scientific taxon Hominoidea. There are two extant branches of the superfamily Hominoidea: the gibbons, or lesser apes; and the hominids, or great apes. 
* The family Hylobatidae, the lesser apes, include four genera and a total of sixteen species of gibbon, including the lar gibbon and the siamang, all native to Asia. They are highly arboreal and bipedal on the ground. They have lighter bodies and smaller social groups than great apes. 
* The family Hominidae (hominids), the great apes, also include four genera comprising three extant species of orangutans and their subspecies, two extant species of gorillas and their subspecies, two extant species of chimpanzees and their subspecies, and one extant species of humans in a single extant subspecies. Except for gorillas and humans, hominoids are agile climbers of trees. Apes eat a variety of plant and animal foods, with the majority of food being plant foods, which can include fruit, leaves, stalks, roots and seeds, including nuts and grass seeds. Human diets are sometimes substantially different from that of other apes due in part to the development of technology and a wide range of habitation. Humans are by far the most numerous of the ape species, in fact outnumbering all other primates by a factor of several thousand to one. Most non-human hominoids are rare or endangered. The chief threat to most of the endangered species is loss of tropical rainforest habitat, though some populations are further imperiled by hunting for bushmeat. The great apes of Africa are also facing threat from the Ebola virus. Currently considered to be the greatest threat to survival of African apes, Ebola infection is responsible for the death of at least one third of all gorillas and chimpanzees since 1990."
48,Ape,type,Eukaryote
49,Ape,type,Mammal
51,Ape,type,Animal
52,Ape,type,BiologicalLivingObject
53,Armadillo,abstract,"Armadillos (meaning ""little armoured one"" in Spanish) are New World placental mammals in the order Cingulata. The Chlamyphoridae and Dasypodidae are the only surviving families in the order, which is part of the superorder Xenarthra, along with the anteaters and sloths. Nine extinct genera and 21 extant species of armadillo have been described, some of which are distinguished by the number of bands on their armour. All species are native to the Americas, where they inhabit a variety of different environments. Armadillos are characterized by a leathery armour shell and long sharp claws for digging. They have short legs, but can move quite quickly. The average length of an armadillo is about 75 cm (30 in), including tail. The giant armadillo grows up to 150 cm (59 in) and weighs up to 54 kg (119 lb), while the pink fairy armadillo has a length of only 13â€“15 cm (5â€“6 in). When threatened by a predator, Tolypeutes species frequently roll up into a ball (these being the only species of Armadillo capable of such)."
55,Armadillo,type,Eukaryote
57,Armadillo,type,Animal
58,Armadillo,type,BiologicalLivingObject
59,Armadillo,type,Animal
61,Armadillo,type,Mammal
